Textbox25,Textbox26
NPSpecies - The National Park Service biodiversity database.  IRMA Portal version.https://irma.nps.gov/npspecies.  Accessed 7/25/2025 8:30:15 PM,"NatureServe Global (G) and State (S) Conservation Status Rank List - NatureServe. 2025. NatureServe Explorer [web application]. NatureServe, Arlington, Virginia. Available https://explorer.natureserve.org/. (Accessed: July 9, 2025). This information is provided by NatureServe (www.natureserve.org) and its network of natural heritage member programs, a leading source of information about rare and endangered species, and threatened ecosystems."

Textbox46,Category1,CategoryGroup,Textbox51,PreferredCommonNames1,OccwTag,Abundance,NatwTags,NPSTags,ParkTags,RefCount,ObsCount,VouCount,ExternalLinkCount,TESS,StateStatuses,Ozone,GRank,SRank1,Textbox52,Textbox1
,Mammals,Artiodactyla/Bovidae,Ovis canadensis sierrae,Sierra Nevada bighorn sheep,Present,Rare,Native,Management Priority; Breeder,,0,0,0,0,E,"CA: FP, SE",,G4T2,CA: S2,- ,Report Species Count: 2086
,Mammals,Artiodactyla/Cervidae,Odocoileus hemionus,"mule deer, Mule Deer",Present,Common,Native,Breeder,,1,176,9,0,50,,,G5,CA: SNR,"- Dama hemionus californica, Odocoileus hemionus californicus",Report Species Count: 2086
,Mammals,Carnivora/Canidae,Canis latrans,Coyote,Present,Uncommon,Native,Breeder,,1,141,10,0,SC,,,G5,CA: SNR,- Canis latrans lestes,Report Species Count: 2086
,Mammals,Carnivora/Canidae,Urocyon cinereoargenteus,gray fox,Present,Common,Native,Breeder,,1,74,0,0,,,,G5,CA: SNR,- ,Report Species Count: 2086
,Mammals,Carnivora/Canidae,Vulpes vulpes necator,Sierra Nevada red fox,Present,Rare,Native,Management Priority; Breeder,,1,20,0,0,RT,CA: ST,,G5T1T2,CA: SNR,- Vulpes vulpes,Report Species Count: 2086
,Mammals,Carnivora/Felidae,Lynx rufus,Bobcat,Present,Uncommon,Native,Breeder,,1,276,6,0,RT,,,G5,CA: SNR,- Lynx rufus californicus,Report Species Count: 2086
,Mammals,Carnivora/Felidae,Puma concolor,mountain lion,Present,Uncommon,Native,Breeder,,1,416,0,0,,CA: SC,,G5,CA: SNR,- ,Report Species Count: 2086
,Mammals,Carnivora/Mephitidae,Mephitis mephitis,Striped Skunk,Present,Common,Native,Breeder,,1,10,1,0,,,,G5,CA: SNR,- Mephitis mephitis occidentalis,Report Species Count: 2086
,Mammals,Carnivora/Mephitidae,Spilogale putorius,spotted skunk,Present,Uncommon,Native,Breeder,,1,16,4,0,SU,,,G4,,"- Spilogale gracilis, Spilogale putorius gracilis",Report Species Count: 2086
,Mammals,Carnivora/Mustelidae,Gulo gulo,Wolverine,Present,Rare,Native,Breeder,,2,29,0,0,50,"CA: FP, ST",,G4,CA: S1,- ,Report Species Count: 2086
,Mammals,Carnivora/Mustelidae,Lontra canadensis,river otter,Present,Rare,Unknown,Breeder,,1,33,0,0,RT,,,G5,CA: SNR,- ,Report Species Count: 2086
,Mammals,Carnivora/Mustelidae,Martes americana,"American Marten, Marten",Present,Uncommon,Native,Breeder,,1,129,6,0,50,,,G5,,"- Martes americana sierrae, Martes caurina sierrae",Report Species Count: 2086
,Mammals,Carnivora/Mustelidae,Mustela erminea,Ermine,Present,Uncommon,Native,Breeder,,1,15,9,0,,,,GNR,,- Mustela erminea muricus,Report Species Count: 2086
,Mammals,Carnivora/Mustelidae,Mustela frenata,Long-tailed Weasel,Present,Uncommon,Native,Breeder,,1,71,5,0,,,,,,"- Mustela frenata arizonensis, Mustela frenata nevadensis",Report Species Count: 2086
,Mammals,Carnivora/Mustelidae,Neovison vison,American mink,Present,Rare,Native,Breeder,,1,2,0,0,,,,,,- Mustela vison,Report Species Count: 2086
,Mammals,Carnivora/Mustelidae,Pekania pennanti,fisher,Present,Uncommon,Native,Breeder,,1,19,1,0,E,,,G5,CA: S2S3,- Martes pennanti,Report Species Count: 2086
,Mammals,Carnivora/Mustelidae,Taxidea taxus,badger,Present,Rare,Native,Breeder,,1,31,0,0,SC,CA: SSC,,G5,CA: S3,- ,Report Species Count: 2086
,Mammals,Carnivora/Procyonidae,Bassariscus astutus,Ringtail,Present,Common,Native,Breeder,,1,85,5,0,SC,,,G5,CA: SNR,- Bassariscus astutus raptor,Report Species Count: 2086
,Mammals,Carnivora/Procyonidae,Procyon lotor,raccoon,Present,Common,Native,Breeder,,1,33,0,0,,,,G5,CA: SNR,- ,Report Species Count: 2086
,Mammals,Carnivora/Ursidae,Ursus americanus,black bear,Present,Common,Native,Breeder,,1,275,2,0,,,,G5,CA: SNR,- ,Report Species Count: 2086
,Mammals,Chiroptera/Molossidae,Eumops perotis,western mastiff bat,Present,Uncommon,Native,Breeder,,3,1,6,0,,,,G4G5,CA: SNR,- Eumops perotis californicus,Report Species Count: 2086
,Mammals,Chiroptera/Molossidae,Tadarida brasiliensis,Mexican free-tailed bat,Present,Common,Native,Breeder,,3,5,2,0,,,,G5,CA: SNR,- Tadarida brasiliensis mexicana,Report Species Count: 2086
,Mammals,Chiroptera/Vespertilionidae,Antrozous pallidus,Pallid Bat,Present,Common,Native,Breeder,,3,8,7,0,SC,CA: SSC,,G4,CA: S3,- Antrozous pallidus pacificus,Report Species Count: 2086
